Size,Filters,Threads,Naive,OpenMP,Img2col_S,Img2col_OMP
128,32,1,0.03339966666666667,0.034569333333333334,0.026485333333333333,0.024575
128,32,2,0.03339,0.017159666666666667,0.026534333333333337,0.014041666666666668
128,32,4,0.03314966666666667,0.018270333333333333,0.031344333333333335,0.013871
128,32,8,0.03351266666666667,0.009516,0.031663,0.007724666666666667
128,32,12,0.03550866666666667,0.006957,0.032018333333333336,0.011002
128,64,1,0.070206,0.07081366666666668,0.056797999999999994,0.05174600000000001
128,64,2,0.06824833333333334,0.038099,0.056099333333333334,0.027218000000000003
128,64,4,0.07156766666666668,0.027459,0.05442033333333333,0.023327
128,64,8,0.06873733333333333,0.017918,0.05771966666666667,0.015471333333333332
128,64,12,0.07169099999999999,0.025462,0.05816566666666667,0.014568333333333334
128,128,1,0.14378500000000002,0.14146733333333333,0.10682866666666667,0.09621066666666667
128,128,2,0.13957733333333333,0.07602933333333334,0.113676,0.05743666666666667
128,128,4,0.13877266666666666,0.05747666666666667,0.110402,0.042866666666666664
128,128,8,0.141093,0.0465,0.11193933333333334,0.028858333333333333
128,128,12,0.14087066666666667,0.039712333333333336,0.12314866666666667,0.028197666666666666
128,512,1,0.5467616666666667,0.545368,0.4329693333333333,0.394938
128,512,2,0.5396706666666667,0.2837786666666667,0.4153786666666666,0.20421699999999998
128,512,4,0.54461,0.21040899999999998,0.4223343333333333,0.165342
128,512,8,0.5488843333333334,0.1610406666666667,0.43215933333333334,0.11484266666666666
128,512,12,0.5534103333333333,0.1375333333333333,0.43894266666666665,0.10325200000000001
256,32,1,0.14198266666666667,0.14315233333333333,0.11134566666666668,0.09891566666666667
256,32,2,0.13692133333333334,0.07203633333333334,0.10848333333333333,0.05427166666666666
256,32,4,0.138456,0.05733433333333333,0.11190299999999999,0.051657
256,32,8,0.137718,0.043022000000000005,0.11532066666666667,0.033023
256,32,12,0.14092933333333335,0.04211033333333334,0.11638199999999999,0.030848333333333335
256,64,1,0.27519333333333335,0.2785843333333333,0.211788,0.19920533333333335
256,64,2,0.27820333333333336,0.14702833333333334,0.21344533333333335,0.10440066666666666
256,64,4,0.278654,0.10962500000000001,0.218828,0.087409
256,64,8,0.28255800000000003,0.08141,0.21557700000000002,0.06205733333333333
256,64,12,0.27659433333333333,0.071863,0.21902533333333332,0.051447999999999994
256,128,1,0.568475,0.5848463333333332,0.4307696666666667,0.3989773333333333
256,128,2,0.5632363333333333,0.31114400000000003,0.4440866666666667,0.22545733333333332
256,128,4,0.5833423333333334,0.236723,0.4476436666666667,0.16320533333333334
256,128,8,0.5622336666666666,0.15536433333333333,0.439535,0.11336466666666667
256,128,12,0.5574623333333334,0.136058,0.43051666666666666,0.094981
256,512,1,2.24805,2.2458916666666666,1.7000626666666667,1.617663
256,512,2,2.3448393333333333,1.2415713333333334,1.842977,0.9285410000000001
256,512,4,2.286675666666667,0.8784843333333333,1.7451893333333335,0.6643313333333333
256,512,8,2.3147403333333334,0.6280546666666666,1.786747,0.466936
256,512,12,2.698294666666667,0.6396916666666667,2.166298,0.4911393333333333
512,32,1,0.6410253333333333,0.6592929999999999,0.48775966666666665,0.460898
512,32,2,0.6378096666666667,0.37529133333333337,0.5507016666666665,0.30393
512,32,4,0.6581443333333333,0.26384,0.5166006666666667,0.21047566666666664
512,32,8,0.6949026666666667,0.174525,0.5362186666666666,0.14157
512,32,12,0.7087806666666667,0.171899,0.5505053333333333,0.14896066666666666
512,64,1,1.4793029999999998,1.4550706666666666,1.097804,1.1156336666666666
512,64,2,1.1873963333333333,0.672619,0.9287850000000001,0.572172
512,64,4,1.1899806666666668,0.4707796666666666,0.9249653333333333,0.34331833333333334
512,64,8,1.2260346666666668,0.33076099999999997,1.0095626666666668,0.24272233333333335
512,64,12,1.253725,0.31988833333333333,1.0002886666666668,0.23677566666666663
512,128,1,2.7353423333333335,2.8600733333333337,2.1540923333333333,2.056822
512,128,2,2.935599,1.689467,2.1917003333333334,1.3305023333333332
512,128,4,2.4884673333333334,0.898109,1.8748106666666668,0.693758
