Size,Filters,Threads,Schedule,Chunk,Naive,OpenMP,Img2col_S,Img2col_OMP
128,32,1,guided,8,0.037455,0.03885533333333333,0.029396222222222226,0.02731
128,32,2,guided,1,0.037005333333333335,0.023109499999999998,0.030766500000000002,0.0188615
128,32,4,guided,8,0.036848,0.016357,0.03151288888888889,0.011562
128,32,8,guided,4,0.047236,0.009803,0.032664,0.007537
128,32,12,dynamic,16,0.043393,0.01561,0.038057,0.008048
128,64,1,guided,4,0.07329588888888888,0.07465,0.055795,0.053114
128,64,2,guided,8,0.075551,0.049944,0.058550333333333336,0.037339
128,64,4,guided,2,0.081218,0.029082,0.064602,0.022293
128,64,8,guided,1,0.0771455,0.017021,0.05973233333333333,0.013311499999999999
128,64,12,dynamic,16,0.079945,0.021719,0.079369,0.013951
128,128,1,guided,1,0.145054,0.148222,0.11526,0.104911
128,128,2,guided,16,0.14568533333333333,0.092883,0.11085333333333335,0.06453500000000001
128,128,4,guided,2,0.15133083333333333,0.058726,0.11743183333333333,0.04281483333333334
128,128,8,dynamic,32,0.155504,0.04101933333333333,0.11295200000000001,0.026518333333333335
128,128,12,guided,32,0.1465796666666667,0.043466666666666674,0.11579766666666667,0.024267999999999998
128,512,1,static,16,0.573827,0.582724,0.45024233333333336,0.423652
128,512,2,static,32,0.6075283333333333,0.344492,0.455709,0.25016
128,512,4,guided,32,0.5783413333333333,0.214352,0.453867,0.1689963333333333
128,512,8,dynamic,32,0.5834,0.149086,0.4593103333333333,0.109942
128,512,12,guided,16,0.586167,0.12679566666666667,0.46206833333333336,0.096145
256,32,1,static,16,0.14427666666666664,0.147689,0.11456499999999999,0.106978
256,32,2,static,2,0.14720866666666665,0.09406700000000001,0.11625466666666666,0.068852
256,32,4,dynamic,16,0.163319,0.054572666666666665,0.13173033333333334,0.04947966666666667
256,32,8,guided,16,0.18586633333333333,0.037875,0.12805,0.02904666666666667
256,32,12,guided,32,0.16077433333333335,0.039338000000000005,0.1260146666666667,0.030457
256,64,1,static,8,0.2998723333333333,0.311925,0.22622233333333333,0.21193566666666666
256,64,2,guided,32,0.3401563333333333,0.20837233333333335,0.2560093333333333,0.144442
256,64,4,guided,4,0.348231,0.11535566666666668,0.27302733333333334,0.087646
256,64,8,guided,2,0.32867433333333335,0.076215,0.24018233333333336,0.05761566666666667
256,64,12,dynamic,16,0.335042,0.074594,0.263535,0.0536
256,128,1,static,4,0.631832,0.685586,0.5045003333333333,0.44376
