Size,Filters,Threads,Schedule,Chunk,Naive,OpenMP,Img2col_S,Img2col_OMP
128,32,1,dynamic,1,0.057767,0.0652095,0.0416035,0.052612
128,32,1,dynamic,2,0.03765,0.04232433333333333,0.02918577777777778,0.033278
128,32,1,dynamic,4,0.03703533333333334,0.04010222222222222,0.02881822222222222,0.030214
128,32,1,dynamic,8,0.037477333333333335,0.038149999999999996,0.029158888888888887,0.02998133333333333
128,32,1,dynamic,16,0.035733,0.036912,0.027931666666666664,0.027918666666666665
128,32,1,dynamic,32,0.03705066666666667,0.03714266666666667,0.029071333333333334,0.028
128,32,1,guided,1,0.03659333333333333,0.036575833333333335,0.028516,0.027378
128,32,1,guided,2,0.038663444444444445,0.039567,0.028757,0.02866
128,32,1,guided,4,0.039742,0.041154,0.030613,0.031139
128,32,1,guided,8,0.037455,0.03885533333333333,0.029396222222222226,0.02731
128,32,1,guided,16,0.036377999999999994,0.041086333333333336,0.029046666666666665,0.028869999999999996
128,32,1,guided,32,0.037767666666666665,0.040491,0.028985333333333335,0.028592999999999997
128,32,1,static,1,0.0383705,0.041575,0.028799833333333334,0.029552166666666668
128,32,1,static,2,0.03645866666666667,0.03876322222222222,0.028570111111111112,0.027709555555555557
128,32,1,static,4,0.03735733333333333,0.03912988888888889,0.029680888888888892,0.027501666666666664
128,32,1,static,8,0.036829,0.03852666666666667,0.02927,0.027917
128,32,1,static,16,0.03687866666666667,0.038334,0.029430666666666664,0.027785333333333332
128,32,1,static,32,0.03855733333333333,0.038753333333333334,0.029851666666666665,0.027643333333333336
128,32,2,dynamic,1,0.0371665,0.039823,0.040138,0.0373365
128,32,2,dynamic,2,0.040366,0.03249,0.032509,0.025665
128,32,2,dynamic,4,0.03710011111111111,0.027436111111111113,0.029084,0.021981444444444442
128,32,2,dynamic,8,0.037659,0.025678777777777776,0.029881222222222226,0.020557
128,32,2,dynamic,16,0.036194,0.02410166666666667,0.029465333333333333,0.018917666666666666
128,32,2,dynamic,32,0.03951266666666667,0.025146,0.030949333333333332,0.01902166666666667
128,32,2,guided,1,0.037005333333333335,0.023109499999999998,0.030766500000000002,0.0188615
128,32,2,guided,2,0.037024,0.024487,0.029291,0.019308111111111113
128,32,2,guided,4,0.037189,0.022853,0.029879,0.018871
128,32,2,guided,8,0.037313,0.025659,0.03174,0.020691
128,32,2,guided,16,0.037011999999999996,0.021255,0.02938866666666667,0.020098666666666667
128,32,2,guided,32,0.036801,0.023497,0.029566,0.02054966666666667
128,32,2,static,1,0.038678500000000005,0.030620500000000002,0.03312,0.022759500000000002
128,32,2,static,2,0.036961777777777774,0.02861,0.03183888888888889,0.023362
128,32,2,static,4,0.03854944444444444,0.026516,0.030409,0.024327
128,32,2,static,8,0.036914444444444444,0.029172,0.031558,0.025
128,32,2,static,16,0.03755033333333333,0.028048666666666666,0.031182666666666664,0.019661333333333333
128,32,2,static,32,0.038740666666666666,0.025137333333333334,0.029045666666666668,0.021784
128,32,4,dynamic,1,0.0368495,0.024591000000000002,0.0321155,0.02283416666666667
128,32,4,dynamic,2,0.038518555555555556,0.020894,0.032522444444444444,0.016962777777777778
128,32,4,dynamic,4,0.038208,0.016991888888888886,0.03258744444444444,0.013638
128,32,4,dynamic,8,0.037952,0.014929222222222224,0.030867,0.013064
128,32,4,dynamic,16,0.037487333333333324,0.014890333333333334,0.030440666666666668,0.012186666666666667
128,32,4,dynamic,32,0.038608,0.012888,0.031628,0.012402000000000002
128,32,4,guided,1,0.0843705,0.0199065,0.047838,0.023035
128,32,4,guided,2,0.03898733333333334,0.014503,0.03113944444444445,0.011834222222222222
128,32,4,guided,4,0.03820944444444444,0.014629,0.03079933333333333,0.011864
128,32,4,guided,8,0.036848,0.016357,0.03151288888888889,0.011562
128,32,4,guided,16,0.03763733333333333,0.014952,0.03378133333333334,0.012194333333333335
128,32,4,guided,32,0.04089633333333333,0.015562333333333333,0.034281,0.012263666666666668
128,32,4,static,1,0.0441915,0.022671,0.0349625,0.027867499999999996
128,32,4,static,2,0.037613,0.018167222222222223,0.034909,0.015339222222222223
128,32,4,static,4,0.03750777777777778,0.017930222222222222,0.03245266666666667,0.014909444444444444
128,32,4,static,8,0.03783977777777778,0.017602777777777776,0.033688,0.014940666666666666
128,32,4,static,16,0.037080666666666665,0.017290333333333335,0.033216,0.014496999999999998
